"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Forma de Vinculación","Tipo de Vinculación","latitud-longitud"
"152.888",,"2.004","4","0","05585","PUERTO NARE","ANTIOQUIA","MAGDALENA MEDIO","PERSUASIÓN","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO","0","1","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-74.5716887665 6.2194810893)"
"207.556",,"2.001","4","25","05756","SONSON","ANTIOQUIA","ORIENTE ANTIOQUEÑO","PERSUASIÓN","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO","0","1","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-74.82807326 5.837681474)"
"209.268",,"0","0","0","05234","DABEIBA","ANTIOQUIA","OCCIDENTE ANTIOQUEÑO","DESCONOCIDA","GUERRILLA","NO IDENTIFICADA","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-76.31426328 6.992243782)"
"225.057",,"1.988","0","0","68689","SAN VICENTE DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-73.53900334 6.894292346)"
"228.661",,"1.998","2","15","66456","MISTRATO","RISARALDA","EJE CAFETERO","PERSUASIÓN","GUERRILLA","ERG","0","0","0","0","0","0","0","0","0",,"OCULTAMIENTO DE CADÁVER","1","INDIVIDUAL","RECLUTAMIENTO","POINT (-75.90432634 5.416268487)"
"229.622",,"1.993","1","11","50001","VILLAVICENCIO","META","PIEDEMONTE LLANERO","ENGAÑO","GUERRILLA","NO IDENTIFICADA","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-73.627486 4.127404)"
"236.057",,"1.998","2","16","05660","SAN LUIS","ANTIOQUIA","ORIENTE ANTIOQUEÑO","PERSUASIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-74.80691316 6.063828223)"
"238.584",,"1.998","12","1","66594","QUINCHIA","RISARALDA","EJE CAFETERO","PERSUASIÓN","GUERRILLA","DISIDENCIA EPL","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-75.7304126 5.34044568)"
"244.955",,"2.000","4","15","05837","TURBO","ANTIOQUIA","URABA","COACCIÓN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","1","0","0","0","0","0",,,"2","MÚLTIPLE","RECLUTAMIENTO","POINT (-76.5740377 8.173851745)"
"252.216",,"2.001","7","1","73001","IBAGUE","TOLIMA","NORTE DEL TOLIMA","PERSUASIÓN","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-75.252591 4.451921427)"
